Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated "
09/22/2020,09/23/2020,Hunts Point,HP,293.00,168601.97,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948
09/22/2020,09/23/2020,Jamaica Bay,JA,4625.00,1660004.08,,748737
09/22/2020,09/23/2020,Newtown Creek,NC,413.00,252656.45,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,658596
09/22/2020,09/23/2020,Oakwood Beach,OB,1525.00,533314.77,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731
09/22/2020,09/23/2020,Owls Head,OH,1011.00,363225.41,,906442
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",226167
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,120539
09/22/2020,09/23/2020,Tallman Island,TI,259.00,104720.08,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485
09/27/2020,09/30/2020,26th Ward,26W,1960.00,1225721.17,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",290608
09/27/2020,09/28/2020,Bowery Bay,BB,1416.00,515818.51,,924695
09/27/2020,09/28/2020,Coney Island,CI,1714.00,874981.67,,682342
09/27/2020,09/28/2020,Hunts Point,HP,781.00,473361.55,,755948
09/27/2020,09/28/2020,Jamaica Bay,JA,753.00,289294.02,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737
09/27/2020,09/28/2020,Newtown Creek,NC,1007.00,566921.05,,1156473
09/27/2020,09/30/2020,North River,NR,1066.00,508342.86,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",658596
09/27/2020,09/28/2020,Oakwood Beach,OB,646.00,226738.63,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",258731
09/27/2020,09/30/2020,Owls Head,OH,5174.00,1922967.25,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",906442
09/27/2020,09/28/2020,Port Richmond,PR,1715.00,657329.59,,226167
09/27/2020,09/28/2020,Red Hook,RH,214.00,83309.75,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029
09/27/2020,09/28/2020,Rockaway,RK,,,Analytical issue,120539
09/27/2020,09/30/2020,Tallman Island,TI,416.00,182097.51,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",449907
09/27/2020,09/28/2020,Wards Island,WI,,,Analytical issue,1201485
09/29/2020,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608
09/29/2020,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695
09/29/2020,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948
09/29/2020,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737
09/29/2020,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473
09/29/2020,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596
09/29/2020,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731
09/29/2020,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442
09/29/2020,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167
09/29/2020,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029
09/29/2020,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539
09/29/2020,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907
09/29/2020,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485
10/04/2020,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608
10/04/2020,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695
10/04/2020,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948
10/04/2020,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737
10/04/2020,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473
10/04/2020,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596
10/04/2020,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731
10/04/2020,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442
10/04/2020,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167
10/04/2020,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029
10/04/2020,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539
10/04/2020,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907
10/04/2020,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485
10/06/2020,10/07/2020,26th Ward,26W,1169.00,700363.25,,290608
10/06/2020,10/07/2020,Bowery Bay,BB,2800.00,962833.17,,924695
10/06/2020,10/07/2020,Coney Island,CI,7238.00,3252567.31,,682342
10/06/2020,10/07/2020,Hunts Point,HP,1051.00,605349.79,,755948
10/06/2020,10/07/2020,Jamaica Bay,JA,1317.00,480739.77,,748737
10/06/2020,10/07/2020,Newtown Creek,NC,1448.00,796369.86,,1156473
10/06/2020,10/07/2020,North River,NR,823.00,411788.37,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596
10/06/2020,10/07/2020,Oakwood Beach,OB,3108.00,1045725.63,,258731
10/06/2020,10/07/2020,Owls Head,OH,5824.00,2140225.10,,906442
10/06/2020,10/07/2020,Port Richmond,PR,1403.00,523687.55,,226167
10/06/2020,10/07/2020,Red Hook,RH,878.00,326459.68,,224029
10/06/2020,10/07/2020,Rockaway,RK,1055.00,695748.53,,120539
10/06/2020,10/07/2020,Tallman Island,TI,586.00,246662.72,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
10/06/2020,10/07/2020,Wards Island,WI,1152.00,613593.50,,1201485
10/11/2020,10/12/2020,26th Ward,26W,569.00,370574.71,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608
10/11/2020,10/12/2020,Bowery Bay,BB,3340.00,1175791.45,,924695
10/11/2020,10/12/2020,Coney Island,CI,1661.00,718641.23,,682342
10/11/2020,10/12/2020,Hunts Point,HP,846.00,495520.01,,755948
10/11/2020,10/12/2020,Jamaica Bay,JA,1570.00,582974.41,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737
10/11/2020,10/12/2020,Newtown Creek,NC,682.00,385987.42,,1156473
10/11/2020,10/12/2020,North River,NR,333.00,170555.88,Concentration below Method Limit of Quantification (above Method Limit of Detection),658596
10/11/2020,10/12/2020,Oakwood Beach,OB,2106.00,730213.25,,258731
10/11/2020,10/12/2020,Owls Head,OH,6038.00,2546635.48,,906442
10/11/2020,10/12/2020,Port Richmond,PR,1489.00,573163.13,,226167
10/11/2020,10/12/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029
10/11/2020,10/12/2020,Rockaway,RK,1078.00,609497.72,,120539
10/11/2020,10/12/2020,Tallman Island,TI,626.00,279048.57,,449907
10/11/2020,10/12/2020,Wards Island,WI,600.00,321472.73,,1201485
10/13/2020,10/14/2020,26th Ward,26W,1351.00,862479.09,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",290608
10/13/2020,10/14/2020,Bowery Bay,BB,2338.00,1244365.68,,924695
10/13/2020,10/14/2020,Coney Island,CI,13884.00,7009292.66,,682342
10/13/2020,10/14/2020,Hunts Point,HP,1822.00,1414059.02,,755948
10/13/2020,10/14/2020,Jamaica Bay,JA,2170.00,866719.84,,748737
10/13/2020,10/14/2020,Newtown Creek,NC,2102.00,1417415.71,,1156473
10/13/2020,10/14/2020,North River,NR,1011.00,610378.22,,658596
10/13/2020,10/14/2020,Oakwood Beach,OB,1713.00,794402.88,,258731
10/13/2020,10/14/2020,Owls Head,OH,4672.00,1892693.36,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442
10/13/2020,10/14/2020,Port Richmond,PR,2006.00,1051117.01,,226167
10/13/2020,10/14/2020,Red Hook,RH,1295.00,634501.17,,224029
10/13/2020,10/14/2020,Rockaway,RK,1044.00,688572.55,,120539
10/13/2020,10/14/2020,Tallman Island,TI,540.00,309194.91,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907
10/13/2020,10/14/2020,Wards Island,WI,2066.00,1334360.17,,1201485
10/18/2020,10/19/2020,26th Ward,26W,589.00,360573.93,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,290608
10/18/2020,10/19/2020,Bowery Bay,BB,3925.00,1542556.99,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,924695
10/18/2020,10/19/2020,Coney Island,CI,2615.00,1204084.90,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,682342
10/18/2020,10/19/2020,Hunts Point,HP,2565.00,1502723.13,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,755948
10/18/2020,10/19/2020,Jamaica Bay,JA,1313.00,519384.23,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,748737
10/18/2020,10/19/2020,Newtown Creek,NC,6101.00,3354708.66,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1156473
10/18/2020,10/19/2020,North River,NR,1479.00,765260.92,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,658596
10/18/2020,10/19/2020,Oakwood Beach,OB,1793.00,748299.60,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,258731
10/18/2020,10/19/2020,Owls Head,OH,7750.00,2815674.50,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,906442
10/18/2020,10/19/2020,Port Richmond,PR,1229.00,514245.91,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,226167
10/18/2020,10/19/2020,Red Hook,RH,1850.00,656558.66,This sample was analyzed in duplicate. The higher of the 2 results is reported - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,224029
10/18/2020,10/19/2020,Rockaway,RK,262.00,180885.72,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,120539
10/18/2020,10/19/2020,Tallman Island,TI,608.00,327256.35,Associated method blank contaminated; singal in the sample significantly higher than in the method blank,449907
10/18/2020,10/19/2020,Wards Island,WI,444.00,243663.22,Concentration below Method Limit of Quantification (above Method Limit of Detection) - Associated method blank contaminated; singal in the sample significantly higher than in the method blank,1201485
10/20/2020,10/21/2020,26th Ward,26W,1754.00,1668238.66,,290608
10/20/2020,10/21/2020,Bowery Bay,BB,4378.00,1577173.20,,924695
10/20/2020,10/21/2020,Coney Island,CI,2453.00,1088640.01,,682342
10/20/2020,10/21/2020,Hunts Point,HP,2303.00,1280065.10,,755948
10/20/2020,10/21/2020,Jamaica Bay,JA,3808.00,1420015.48,,748737
10/20/2020,10/21/2020,Newtown Creek,NC,5293.00,2979664.88,This sample was analyzed in duplicate. The higher of the 2 results is reported,1156473
10/20/2020,10/21/2020,North River,NR,1789.00,945741.64,,658596
10/20/2020,10/21/2020,Oakwood Beach,OB,4795.00,1834358.63,,258731
10/20/2020,10/21/2020,Owls Head,OH,18230.00,6394851.12,,906442
10/20/2020,10/21/2020,Port Richmond,PR,3789.00,1521966.28,,226167
10/20/2020,10/21/2020,Red Hook,RH,1984.00,703878.26,,224029
10/20/2020,10/21/2020,Rockaway,RK,2720.00,1879345.18,,120539
10/20/2020,10/21/2020,Tallman Island,TI,2226.00,1104931.89,,449907
10/20/2020,10/21/2020,Wards Island,WI,3026.00,1649601.31,,1201485
10/25/2020,10/26/2020,26th Ward,26W,1652.00,989698.57,,290608
10/25/2020,10/26/2020,Bowery Bay,BB,2430.00,855582.47,,924695
10/25/2020,10/26/2020,Coney Island,CI,2615.00,1102519.97,,682342
10/25/2020,10/26/2020,Hunts Point,HP,2678.00,1461670.41,,755948
10/25/2020,10/26/2020,Jamaica Bay,JA,1754.00,663361.42,,748737
10/25/2020,10/26/2020,Newtown Creek,NC,2759.00,1535087.80,,1156473
10/25/2020,10/26/2020,North River,NR,1708.00,853973.30,This sample was analyzed in duplicate. The higher of the 2 results is reported,658596
10/25/2020,10/26/2020,Oakwood Beach,OB,3822.00,1386643.93,,258731
10/25/2020,10/26/2020,Owls Head,OH,5718.00,2101283.14,,906442
10/25/2020,10/26/2020,Port Richmond,PR,2419.00,902980.25,,226167
10/25/2020,10/26/2020,Red Hook,RH,744.00,264029.38,,224029
10/25/2020,10/26/2020,Rockaway,RK,1272.00,758936.16,,120539
10/25/2020,10/26/2020,Tallman Island,TI,1797.00,755797.10,,449907
10/25/2020,10/26/2020,Wards Island,WI,2014.00,1059879.97,,1201485
10/27/2020,10/28/2020,26th Ward,26W,1927.00,1104489.82,,290608
10/27/2020,10/28/2020,Bowery Bay,BB,3913.00,1329526.71,,924695
10/27/2020,10/28/2020,Coney Island,CI,2216.00,872894.95,,682342
10/27/2020,10/28/2020,Hunts Point,HP,6656.00,4265992.05,,755948
10/27/2020,10/28/2020,Jamaica Bay,JA,2605.00,974694.55,,748737
10/27/2020,10/28/2020,Newtown Creek,NC,3132.00,1722378.91,,1156473
10/27/2020,10/28/2020,North River,NR,1723.00,861726.72,,658596
10/27/2020,10/28/2020,Oakwood Beach,OB,3148.00,1114677.03,,258731
10/27/2020,10/28/2020,Owls Head,OH,7189.00,2431804.90,,906442
10/27/2020,10/28/2020,Port Richmond,PR,4568.00,1727999.91,,226167
10/27/2020,10/28/2020,Red Hook,RH,5298.00,1969295.97,,224029
10/27/2020,10/28/2020,Rockaway,RK,884.00,499426.76,,120539
10/27/2020,10/28/2020,Tallman Island,TI,1621.00,682067.04,This sample was analyzed in duplicate. The higher of the 2 results is reported,449907
10/27/2020,10/28/2020,Wards Island,WI,3665.00,1916956.35,,1201485
11/01/2020,11/02/2020,26th Ward,26W,1577.00,1499180.01,,290608
11/01/2020,11/02/2020,Bowery Bay,BB,4299.00,2481274.94,,924695
11/01/2020,11/02/2020,Coney Island,CI,2390.00,1206484.01,,682342
11/01/2020,11/03/2020,Hunts Point,HP,2302.00,1833005.95,,755948
11/01/2020,11/02/2020,Jamaica Bay,JA,2492.00,1247474.22,,748737
11/01/2020,11/02/2020,Newtown Creek,NC,2597.00,1938146.40,,1156473
11/01/2020,11/02/2020,North River,NR,1673.00,1000227.46,,658596
11/01/2020,11/02/2020,Oakwood Beach,OB,2845.00,1344229.96,,258731
11/01/2020,11/02/2020,Owls Head,OH,7666.00,3489667.15,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442
11/01/2020,11/02/2020,Port Richmond,PR,2801.00,1687927.97,,226167
11/01/2020,11/02/2020,Red Hook,RH,775.00,471227.90,,224029
11/01/2020,11/03/2020,Rockaway,RK,452.00,340971.98,Concentration below Method Limit of Quantification (above Method Limit of Detection),120539
11/01/2020,11/02/2020,Tallman Island,TI,1086.00,758212.93,,449907
11/01/2020,11/02/2020,Wards Island,WI,4160.00,2857421.94,,1201485
11/03/2020,11/04/2020,26th Ward,26W,3616.00,2308059.45,Sample processing method slightly different due to supply chain issues,290608
11/03/2020,11/04/2020,Bowery Bay,BB,5348.00,1904648.95,Sample processing method slightly different due to supply chain issues,924695
11/03/2020,11/04/2020,Coney Island,CI,1145.00,489122.10,Sample processing method slightly different due to supply chain issues,682342
11/03/2020,11/04/2020,Hunts Point,HP,1974.00,1245744.71,Sample processing method slightly different due to supply chain issues,755948
11/03/2020,11/04/2020,Jamaica Bay,JA,5794.00,2255629.23,Sample processing method slightly different due to supply chain issues,748737
11/03/2020,11/04/2020,Newtown Creek,NC,1219.00,666313.87,Sample processing method slightly different due to supply chain issues,1156473
11/03/2020,11/04/2020,North River,NR,4016.00,2008176.38,Sample processing method slightly different due to supply chain issues,658596
11/03/2020,11/04/2020,Oakwood Beach,OB,2845.00,1132059.40,Sample processing method slightly different due to supply chain issues,258731
