OBJECTID,state_name,state_fips,state_abbr,hhs_region,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_cov,staffed_adult_icu_bed_occ,staffed_adult_icu_bed_occ_cov,staff_icu_ad_conf_sus_cov,staff_icu_ad_conf_sus_cov_cov,total_staff_ad_icu_beds,total_staff_ad_icu_beds_cov,inpatient_beds_utilization,inpatient_beds_util_cov,inpatient_beds_util_num,inpatient_beds_util_den,perc_inpt_covid,perc_inpt_covid_cov,perc_inpt_covid_num,perc_inpt_covid_den,inpt_bed_covid_util,inpt_bed_covid_util_cov,inpt_bed_covid_util_num,inpt_bed_covid_util_den,ad_icu_bed_covid_util,ad_icu_bed_covid_util_cov,ad_icu_bed_covid_util_num,ad_icu_bed_covid_util_den,ad_icu_bed_util,ad_icu_bed_util_cov,ad_icu_bed_util_num,ad_icu_bed_util_den,reporting_cutoff_start,hospital_onset_covid,hospital_onset_covid_coverage,staff_icu_ad_conf_cov,staff_icu_ad_conf_cov_cov,tot_ad_pat_hosp_conf_sus_cov,tot_ad_pat_hosp_conf_sus_cc,tot_ad_pat_hosp_conf_cov,tot_ad_pat_hosp_conf_cov_cov,tot_ped_pat_hosp_conf_sus_cov,tot_ped_pat_hosp_conf_sus_cc,tot_ped_pat_hosp_conf_cov,tot_ped_pat_hosp_conf_cov_cov,last_updated,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage
35,Maryland,24,MD,3,10301,50,8716,50,1055,49,940,50,121,49,1259,50,0.84613144354917,50,8716,10301,0.121923032474286,49,1055,8653,0.103239064487719,49,1055,10219,0.098775510204082,49,121,1225,0.746624305003971,50,940,1259,2020/07/26 00:00:00+00,22,49,86,50,1014,49,761,50,41,49,15,49,2023/01/12 13:30:00+00,12,11,27,14,25,11,110,50,0,50,5,49,12,49
36,Massachusetts,25,MA,1,16235,73,14221,73,1281,72,1102,73,122,72,1265,73,0.87594702802587,73,14221,16235,0.090838178981705,72,1281,14102,0.079550394336459,72,1281,16103,0.098387096774194,72,122,1240,0.871146245059288,73,1102,1265,2020/07/26 00:00:00+00,167,72,115,73,1258,72,1204,73,23,72,17,72,2023/01/12 13:30:00+00,0,0,73,14,58,1,187,73,0,73,5,72,3,72
37,Michigan,26,MI,5,20574,148,17230,148,1107,144,1911,148,154,144,2374,148,0.837464761349276,148,17230,20574,0.064751988769303,144,1107,17096,0.054232804232804,144,1107,20412,0.065671641791045,144,154,2345,0.80497051390059,148,1911,2374,2020/07/26 00:00:00+00,39,144,152,148,1088,144,1025,148,19,144,10,144,2023/01/12 13:30:00+00,27,112,9,29,115,4,138,148,0,148,2,144,2,144
38,Mississippi,28,MS,4,7974,102,5610,102,446,100,637,102,54,100,734,102,0.703536493604214,102,5610,7974,0.080129356809199,100,446,5566,0.056391452775319,100,446,7909,0.07563025210084,100,54,714,0.867847411444142,102,637,734,2020/07/26 00:00:00+00,17,100,46,102,430,100,391,102,16,100,10,100,2023/01/12 13:30:00+00,7,25,70,17,74,11,68,102,0,102,3,100,6,100
39,New Hampshire,33,NH,1,2528,26,2243,26,153,26,205,26,12,26,225,26,0.887262658227848,26,2243,2528,0.068212215782434,26,153,2243,0.060522151898734,26,153,2528,0.053333333333333,26,12,225,0.911111111111111,26,205,225,2020/07/26 00:00:00+00,9,26,11,26,153,26,148,26,0,26,0,26,2023/01/12 13:30:00+00,3,1,22,3,4,19,24,26,0,26,0,26,3,26
40,New Jersey,34,NJ,2,23331,86,16979,86,1786,85,1427,86,166,85,2882,86,0.727744202991728,86,16979,23331,0.105188762589081,85,1786,16979,0.076550512194077,85,1786,23331,0.057598889659958,85,166,2882,0.495142262317835,86,1427,2882,2020/07/26 00:00:00+00,27,85,161,86,1747,85,1714,86,39,85,8,85,2023/01/12 13:30:00+00,2,8,76,10,75,1,258,86,0,86,10,85,5,85
41,New York,36,NY,2,44042,166,36045,166,4017,157,3401,166,407,157,4375,166,0.818423323191499,166,36045,44042,0.112404510731175,157,4017,35737,0.092181655460449,157,4017,43577,0.095137914913511,157,407,4278,0.777371428571429,166,3401,4375,2020/07/26 00:00:00+00,776,157,370,166,3884,157,3561,166,133,157,99,157,2023/01/12 13:30:00+00,2,34,130,5,126,35,461,166,13,165,17,157,23,157
42,North Carolina,37,NC,4,20144,115,16996,115,2598,111,1881,115,336,111,2143,115,0.843725178713264,115,16996,20144,0.155002684804009,111,2598,16761,0.130657815328908,111,2598,19884,0.161383285302594,111,336,2082,0.877741483901073,115,1881,2143,2020/07/26 00:00:00+00,58,111,196,115,2554,111,1455,115,44,111,24,111,2023/01/12 13:30:00+00,16,78,21,14,89,12,199,115,0,115,6,111,9,111
43,Ohio,39,OH,5,26377,192,21827,192,1424,188,2865,192,191,188,3686,192,0.827501232134056,192,21827,26377,0.065889320747733,188,1424,21612,0.054615886165765,188,1424,26073,0.052850027670172,188,191,3614,0.777265328269126,192,2865,3686,2020/07/26 00:00:00+00,53,188,184,192,1297,188,1203,192,127,188,32,188,2023/01/12 13:30:00+00,1,37,154,35,134,23,195,192,8,192,13,188,39,188
44,Pennsylvania,42,PA,3,29360,181,23973,181,1987,175,2758,181,210,175,3328,181,0.816519073569482,181,23973,29360,0.083857353872125,175,1987,23695,0.068448792586724,175,1987,29029,0.065176908752328,175,210,3222,0.828725961538462,181,2758,3328,2020/07/26 00:00:00+00,29,175,200,181,1909,175,1478,181,78,175,42,175,2023/01/12 13:30:00+00,2,13,166,24,150,7,213,181,0,181,10,175,25,175
